[15:11:58] [ServerMain/INFO]: Building unoptimized datafixer
[15:12:00] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:12:04] [ServerMain/INFO]: Loaded 7 recipes
[15:12:04] [ServerMain/INFO]: Loaded 1179 advancements
[15:12:05] [Server thread/INFO]: Starting minecraft server version 1.19.3
[15:12:05] [Server thread/INFO]: Loading properties
[15:12:05] [Server thread/INFO]: Default game type: SURVIVAL
[15:12:05] [Server thread/INFO]: Generating keypair
[15:12:05] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:12:05] [Server thread/INFO]: Using epoll channel type
[15:12:05] [Server thread/INFO]: Preparing level "world"
[15:12:23] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:12:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:12:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[15:13:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
